ts,run_time,edges_found,paths_total,execs_done,execs_per_sec
1779574018,61,265,390,728880,13182.19
1779574023,66,265,391,798881,13414.94
1779574028,71,265,393,866806,13452.92
1779574033,76,265,393,941189,14418.54
1779574038,81,265,394,1005747,13142.75
1779574043,86,265,397,1072936,13110.41
1779574048,91,265,397,1138488,13119.69
1779574053,96,265,398,1207543,13438.50
1779574058,101,265,398,1274538,13000.50
1779574063,106,265,399,1339108,12934.37
1779574068,111,265,399,1409431,14142.25
1779574073,116,265,399,1486726,15091.30
1779574079,122,265,399,1552447,13238.86
1779574084,127,265,399,1616466,12567.08
1779574089,132,265,401,1687170,13537.64
1779574094,137,265,402,1756528,13712.02
1779574099,142,265,404,1823880,13131.52
1779574104,147,265,405,1890605,13614.92
1779574109,152,265,410,1961669,14097.79
1779574114,157,265,418,2031581,13551.47
1779574119,162,265,419,2102522,13563.60
1779574124,167,265,421,2171834,14039.12
1779574129,172,265,422,2245296,14058.47
1779574134,177,265,422,2310133,13543.55
1779574139,182,265,425,2372386,12542.35
1779574145,188,265,426,2434360,12334.97
1779574150,193,265,426,2503640,13296.42
1779574155,198,265,429,2577378,14430.88
1779574160,203,265,429,2651459,14505.78
1779574165,208,265,431,2709970,12020.64
1779574170,213,265,433,2779953,13562.75
1779574175,218,265,433,2843973,12867.37
1779574180,223,265,433,2907560,12694.40
1779574185,228,265,433,2977930,13673.38
1779574190,233,268,434,3046101,13488.54
1779574195,238,268,437,3117526,13829.66
1779574201,244,268,437,3185972,13506.37
1779574206,249,268,438,3250721,13314.10
1779574211,254,268,439,3317608,13267.03
1779574216,259,268,439,3379259,12497.40
1779574221,264,268,439,3444255,12883.10
1779574226,269,268,439,3512300,13395.71
1779574231,274,268,439,3578043,12671.77
1779574236,279,268,439,3638752,12241.23
1779574241,284,268,440,3705547,12965.70
1779574246,289,268,440,3775188,13532.24
1779574251,294,268,440,3837940,12608.22
1779574256,299,268,440,3900207,12401.75
1779574261,304,268,440,3964779,12596.80
1779574266,309,268,440,4024760,12049.45
1779574271,314,268,440,4088786,12356.11
1779574276,319,268,440,4153761,12969.17
1779574281,324,268,440,4218078,12521.87
1779574287,330,268,440,4281336,12570.56
1779574292,335,268,440,4342253,12440.73
1779574297,340,268,441,4401038,12052.31
1779574302,345,268,442,4466068,12625.78
1779574307,350,268,442,4533370,12870.99
1779574312,355,268,442,4602748,13593.88
1779574317,360,268,442,4667306,12596.41
1779574322,365,268,443,4731358,12655.50
1779574327,370,268,443,4792577,11872.33
1779574332,375,268,443,4854568,12099.01
1779574337,380,268,443,4921746,13077.12
1779574342,385,268,443,4981828,12613.56
1779574347,390,268,443,5045334,12402.68
1779574353,396,268,443,5107873,12618.39
1779574358,401,268,445,5166606,11709.17
1779574363,406,268,445,5224674,11270.48
1779574368,411,268,445,5287332,11868.04
1779574373,416,268,445,5353763,12640.00
1779574378,421,268,445,5408389,11100.05
1779574383,426,268,445,5471228,11937.21
1779574388,431,268,447,5535951,12870.64
1779574393,436,268,447,5601915,13090.52
1779574398,441,268,447,5667515,13313.72
1779574403,446,268,447,5730321,12553.77
1779574408,451,268,448,5797241,13089.01
1779574413,456,268,448,5858998,12523.76
1779574419,462,268,448,5926993,13037.59
1779574424,467,268,449,5995890,13704.30
1779574429,472,268,449,6076103,15689.25
1779574434,477,268,449,6139028,12910.17
1779574439,482,268,449,6205822,12983.10
1779574444,487,268,450,6271306,12658.13
1779574449,492,268,452,6337658,12650.99
1779574454,497,268,452,6406077,13566.65
1779574459,502,268,452,6468199,12573.13
1779574464,507,268,452,6529678,11982.96
1779574469,512,268,452,6593878,12405.71
1779574474,517,268,452,6655466,12398.53
1779574479,522,268,453,6718263,12659.74
1779574484,527,268,453,6784094,13429.50
1779574490,533,268,453,6853688,13433.45
