ts,run_time,edges_found,paths_total,execs_done,execs_per_sec
1779559618,61,268,352,402824,6154.11
1779559623,66,268,356,439848,7255.48
1779559628,71,268,361,475586,7545.61
1779559633,76,268,361,518243,8670.77
1779559638,81,268,366,561634,8476.62
1779559644,87,268,368,608819,9057.77
1779559649,92,268,369,651158,8113.98
1779559654,97,268,370,694139,8468.46
1779559659,102,268,370,737719,8231.92
1779559664,107,268,370,776664,7277.73
1779559669,112,268,370,812462,7977.46
1779559674,117,268,370,856259,8152.40
1779559680,123,268,372,894478,6634.70
1779559685,128,268,372,937292,8178.33
1779559690,133,268,373,986815,9249.56
1779559695,138,268,373,1033171,8801.81
1779559700,143,268,373,1085913,9842.14
1779559705,148,268,374,1133856,9315.67
1779559710,153,268,375,1189003,10605.73
1779559715,158,268,377,1234107,8955.14
1779559720,163,268,377,1279800,9377.64
1779559726,169,268,377,1321042,8352.55
1779559731,174,268,377,1364228,8270.86
1779559736,179,268,377,1400286,7576.90
1779559741,184,268,377,1436178,6712.41
1779559746,189,268,377,1474338,7252.55
1779559751,194,268,377,1523601,10251.90
1779559756,199,268,377,1572891,9602.85
1779559761,204,268,377,1615031,8470.79
1779559766,209,268,377,1652289,7078.10
1779559771,214,268,377,1691833,7421.48
1779559776,219,268,377,1732237,8395.01
1779559782,225,268,378,1775742,2705.28
1779559787,230,268,378,1815856,9824.32
1779559792,235,268,378,1858268,8681.23
1779559797,240,268,378,1902761,8351.02
1779559802,245,268,379,1936893,7178.72
1779559807,250,268,379,1980139,8376.04
1779559812,255,268,379,2024129,8706.40
1779559817,260,268,379,2067670,8270.60
1779559823,266,268,379,2108147,7892.95
1779559828,271,268,379,2145713,7435.43
1779559833,276,268,379,2188726,8382.71
1779559838,281,268,379,2227801,6955.53
1779559843,286,268,379,2260890,6484.83
1779559848,291,268,379,2293520,6353.16
1779559853,296,268,379,2325955,6214.97
1779559858,301,268,379,2358382,5792.84
1779559863,306,268,379,2385594,5458.08
1779559869,312,268,379,2421548,6990.02
1779559874,317,268,379,2464736,8215.03
