ts,run_time,edges_found,paths_total,execs_done,execs_per_sec
1779574821,864,269,558,10416647,13001.76
1779574826,869,269,558,10476303,11830.76
1779574831,874,269,558,10540237,12146.61
1779574836,879,269,558,10603063,12491.53
1779574841,884,269,558,10663978,12046.07
1779574847,890,269,558,10715065,10688.18
1779574852,895,269,558,10773313,11168.26
1779574857,900,269,558,10836760,12261.65
1779574862,905,269,558,10890693,11748.61
1779574867,910,269,558,10951095,11688.94
1779574872,915,269,558,11011144,11740.01
1779574877,920,269,559,11068696,11397.57
1779574882,925,269,560,11133140,12316.29
1779574887,930,269,560,11194394,12165.27
1779574892,935,269,561,11245805,1668.32
1779574897,940,269,561,11298981,10948.20
1779574902,945,269,561,11364234,12316.05
1779574908,951,269,561,11420244,11188.23
1779574913,956,269,561,11478269,10959.01
1779574918,961,269,561,11536361,11408.28
1779574923,966,269,561,11595212,12347.41
1779574928,971,269,561,11656780,12334.82
1779574933,976,269,561,11720217,12009.13
1779574938,981,269,561,11783566,12170.22
1779574943,986,269,561,11848474,12472.98
1779574948,991,269,561,11907233,11909.67
1779574953,996,269,562,11972788,12743.68
1779574958,1001,269,563,12031218,11781.02
1779574964,1007,269,565,12094162,12094.70
1779574969,1012,269,565,12154270,12090.59
1779574974,1017,269,565,12211839,11499.47
1779574979,1022,269,565,12270702,14317.51
1779574984,1027,269,565,12335293,13327.48
1779574989,1032,269,565,12396887,12821.87
1779574994,1037,269,565,12451687,11392.68
1779574999,1042,269,565,12515358,12514.74
1779575004,1047,269,565,12570184,10944.01
1779575009,1052,269,565,12629832,11712.99
1779575014,1057,269,565,12688953,11519.59
1779575019,1062,269,565,12748521,11861.49
1779575025,1068,269,565,12806500,11383.28
1779575030,1073,270,566,12860763,12366.25
1779575035,1078,270,566,12916455,11346.28
1779575040,1083,270,568,12975737,10198.66
1779575045,1088,270,569,13034318,11306.72
1779575050,1093,270,569,13087593,10488.41
1779575055,1098,270,569,13148843,12247.14
1779575060,1103,270,570,13208136,11599.47
1779575065,1108,270,570,13269491,11837.58
1779575070,1113,270,570,13329618,11824.91
1779575076,1119,270,570,13394671,12622.74
1779575081,1124,270,570,13455355,11568.52
1779575086,1129,270,570,13513893,11456.09
1779575091,1134,270,570,13579448,12402.02
1779575096,1139,270,571,13638867,11967.86
1779575101,1144,270,572,13694949,11493.43
1779575106,1149,270,572,13752619,11724.50
1779575111,1154,270,572,13810936,11434.89
1779575116,1159,270,572,13867949,11129.28
1779575122,1165,270,572,13924830,11019.30
1779575127,1170,270,572,13981269,11052.80
1779575132,1175,270,572,14041692,11988.74
1779575137,1180,270,572,14103055,11801.46
1779575142,1185,270,572,14160431,11403.46
1779575147,1190,270,572,14213257,10553.26
