ts,run_time,edges_found,paths_total,execs_done,execs_per_sec
1779559618,61,264,373,532861,9729.62
1779559623,66,264,378,573745,8663.71
1779559628,71,264,383,622817,8947.71
1779559633,76,264,384,661763,9687.91
1779559639,82,264,386,701487,7887.24
1779559644,87,267,389,739737,7697.30
1779559649,92,267,391,788614,9316.92
1779559654,97,267,392,826644,8227.79
1779559659,102,267,396,875091,9408.55
1779559664,107,267,400,920342,9076.66
1779559669,112,267,404,973645,10242.16
1779559675,118,267,410,1017977,8937.65
1779559680,123,267,411,1065066,8733.31
1779559685,128,267,414,1113265,9291.07
1779559690,133,267,414,1159816,9451.44
1779559695,138,267,414,1208418,11716.42
1779559700,143,267,414,1259398,11119.22
1779559705,148,267,414,1304787,2064.52
1779559710,153,267,414,1354030,10685.06
1779559715,158,267,416,1406413,10786.01
1779559720,163,267,419,1458221,10406.74
1779559726,169,267,419,1501855,8964.52
1779559731,174,267,419,1543639,8201.57
1779559736,179,267,419,1579635,7248.19
1779559741,184,267,419,1623080,8376.99
1779559746,189,267,419,1668813,9133.51
1779559751,194,267,419,1711464,8482.53
1779559756,199,267,419,1749681,7531.17
1779559761,204,267,419,1790262,8179.35
1779559767,210,267,419,1835204,8541.93
1779559772,215,267,419,1888590,10979.64
1779559777,220,267,419,1930597,8664.13
1779559782,225,267,420,1978005,9330.67
1779559787,230,267,420,2031601,10324.09
1779559792,235,267,420,2078138,9433.02
1779559797,240,267,421,2123535,9230.76
1779559802,245,267,422,2180163,10532.26
1779559807,250,267,422,2232802,9957.35
1779559812,255,267,422,2287209,10527.24
1779559817,260,267,422,2332072,8926.76
1779559823,266,267,422,2382281,8997.56
1779559828,271,267,422,2426672,8907.22
1779559833,276,267,422,2468389,8249.48
1779559838,281,267,422,2512689,8456.36
1779559843,286,267,422,2548947,7061.14
1779559848,291,267,422,2586567,7627.57
1779559854,297,267,423,2622745,7281.69
1779559859,302,267,423,2660192,7465.78
1779559864,307,267,423,2696477,6961.16
1779559869,312,267,424,2728982,6236.40
1779559874,317,267,424,2758658,6140.80
1779559879,322,267,424,2792445,6696.08
1779559884,327,267,424,2829099,7213.12
1779559889,332,267,424,2864988,6807.53
1779559895,338,267,424,2903623,7749.08
1779559900,343,267,425,2948375,8690.77
1779559905,348,267,426,2991787,8121.17
1779559910,353,267,428,3028073,7320.47
1779559915,358,267,428,3067708,8046.32
1779559920,363,267,428,3107729,7743.10
1779559925,368,267,428,3142671,6836.84
1779559931,374,267,428,3176608,6649.84
1779559936,379,267,428,3213912,7149.48
1779559941,384,267,428,3243555,6365.91
1779559946,389,267,428,3275626,6690.80
1779559951,394,267,428,3319723,8548.65
1779559956,399,267,428,3358164,7787.00
1779559961,404,267,428,3393188,6824.70
1779559967,410,267,428,3426522,6777.90
1779559972,415,267,428,3457952,6476.16
1779559977,420,267,428,3491527,6324.82
1779559982,425,267,428,3524479,6448.69
1779559987,430,267,428,3554048,6362.44
1779559992,435,267,428,3596269,7678.45
1779559997,440,267,428,3629795,6540.52
