target,implementation_mode,paper_mode,repeats_observed,median_paths_total,median_edges,median_bitmap_cvg,unique_crashes_reported_sum,median_execs_per_sec,median_recipe_hit_rate,notes
cjson_parser,baseline-afl,AFL++ default,5,0,,23.21,0,13055.6,,edges not present in current telemetry; use bitmap_cvg until edge export exists
cjson_parser,full-agent,AI recipe validated,5,0,,23.21,0,13812.2,,edges not present in current telemetry; use bitmap_cvg until edge export exists
