# time_s n median_edges min_edges max_edges median_bcov min_bcov max_bcov median_paths min_paths max_paths
6540 4 269 269 269 23.210 23.210 23.210 0 0 0
6600 4 269 269 269 23.210 23.210 23.210 0 0 0
6660 4 269 269 269 23.210 23.210 23.210 0 0 0
6720 4 269 269 269 23.210 23.210 23.210 0 0 0
6780 4 269 269 269 23.210 23.210 23.210 0 0 0
6840 4 269 269 269 23.210 23.210 23.210 0 0 0
6900 4 269 269 269 23.210 23.210 23.210 0 0 0
6960 4 269 269 269 23.210 23.210 23.210 0 0 0
7020 4 269 269 269 23.210 23.210 23.210 0 0 0
7080 4 269 269 269 23.210 23.210 23.210 0 0 0
7140 4 269 269 269 23.210 23.210 23.210 0 0 0
7200 4 269 269 269 23.210 23.210 23.210 0 0 0
7260 4 269 269 269 23.210 23.210 23.210 0 0 0
7320 4 269 269 269 23.210 23.210 23.210 0 0 0
7380 4 269 269 269 23.210 23.210 23.210 0 0 0
7440 4 269 269 269 23.210 23.210 23.210 0 0 0
7500 4 269 269 269 23.210 23.210 23.210 0 0 0
7560 4 269 269 269 23.210 23.210 23.210 0 0 0
7620 4 269 269 269 23.210 23.210 23.210 0 0 0
7680 4 269 269 269 23.210 23.210 23.210 0 0 0
7740 4 269 269 269 23.210 23.210 23.210 0 0 0
7800 4 269 269 269 23.210 23.210 23.210 0 0 0
7860 4 269 269 269 23.210 23.210 23.210 0 0 0
7920 4 269 269 269 23.210 23.210 23.210 0 0 0
7980 4 269 269 269 23.210 23.210 23.210 0 0 0
8040 4 269 269 269 23.210 23.210 23.210 0 0 0
8100 4 269 269 269 23.210 23.210 23.210 0 0 0
8160 4 269 269 269 23.210 23.210 23.210 0 0 0
8220 4 269 269 269 23.210 23.210 23.210 0 0 0
8280 4 269 269 269 23.210 23.210 23.210 0 0 0
8340 4 269 269 269 23.210 23.210 23.210 0 0 0
8400 4 269 269 269 23.210 23.210 23.210 0 0 0
8460 4 269 269 269 23.210 23.210 23.210 0 0 0
8520 4 269 269 269 23.210 23.210 23.210 0 0 0
8580 4 269 269 269 23.210 23.210 23.210 0 0 0
8640 4 269 269 269 23.210 23.210 23.210 0 0 0
8700 4 269 269 269 23.210 23.210 23.210 0 0 0
8760 4 269 269 269 23.210 23.210 23.210 0 0 0
8820 4 269 269 269 23.210 23.210 23.210 0 0 0
8880 4 269 269 269 23.210 23.210 23.210 0 0 0
8940 4 269 269 269 23.210 23.210 23.210 0 0 0
9000 4 269 269 269 23.210 23.210 23.210 0 0 0
9060 4 269 269 269 23.210 23.210 23.210 0 0 0
9120 4 269 269 269 23.210 23.210 23.210 0 0 0
