ts,execs_done,execs_per_sec,paths_total,edges_found,bitmap_cvg,unique_crashes,unique_hangs,recipe_hits,recipe_misses
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517830,188,188000.000000,0,180,15.530000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517890,786634,13100.960000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
1779517950,1605405,13353.780000,0,264,22.780000,0,0,0,0
