ts,run_time,edges_found,paths_total,execs_done,execs_per_sec
1779559618,61,267,340,476898,8853.47
1779559623,66,267,347,519986,8489.78
1779559628,71,267,350,560561,8135.70
1779559633,76,267,353,595538,7210.99
1779559638,81,267,354,644862,9962.32
1779559643,86,267,354,694984,9565.65
1779559648,91,267,359,747802,10362.86
1779559653,96,267,363,791110,9023.78
1779559658,101,267,363,833851,8960.42
1779559664,107,267,363,873928,8245.29
1779559669,112,267,370,925015,9739.52
1779559674,117,267,373,963842,7756.47
1779559679,122,267,373,1007027,8139.22
1779559684,127,267,377,1047080,7588.73
1779559689,132,267,377,1085130,7054.62
1779559694,137,267,378,1122599,7230.00
1779559700,143,267,378,1167622,8390.49
1779559705,148,267,379,1218366,10054.59
1779559710,153,267,383,1261104,8634.86
1779559715,158,267,384,1312032,9863.71
1779559720,163,267,386,1359931,9416.31
1779559725,168,267,386,1401248,8237.74
1779559730,173,267,387,1438110,7590.69
1779559735,178,267,387,1488248,8966.31
1779559740,183,267,388,1526673,8005.93
1779559745,188,267,388,1567564,8183.39
1779559751,194,267,388,1607291,7852.05
1779559756,199,267,389,1641534,7176.14
1779559761,204,267,390,1680735,7495.76
1779559766,209,267,391,1719603,7182.97
1779559771,214,267,392,1766094,9183.34
1779559776,219,267,392,1807230,8392.35
1779559781,224,267,393,1851870,9013.80
1779559786,229,267,393,1892881,8169.14
1779559791,234,267,394,1941503,8930.75
1779559797,240,267,394,1982200,8328.58
1779559802,245,267,394,2029481,9213.71
1779559807,250,267,394,2076452,9323.49
1779559812,255,267,394,2126907,9658.56
1779559817,260,267,394,2166937,8052.14
1779559822,265,267,395,2211831,8390.44
1779559827,270,267,395,2249021,7535.80
1779559832,275,267,395,2291219,8004.88
1779559838,281,267,395,2338181,8635.64
1779559843,286,267,395,2369954,6525.90
1779559848,291,267,395,2401025,6048.54
1779559853,296,267,395,2433232,6426.19
1779559858,301,267,395,2462099,5836.95
1779559863,306,267,395,2493417,6021.74
1779559868,311,267,395,2521861,5754.55
1779559873,316,267,395,2552738,5823.81
1779559879,322,267,395,2594940,7787.83
1779559884,327,267,395,2641020,8879.93
1779559889,332,267,395,2678457,7102.15
1779559894,337,267,395,2708726,5794.56
1779559899,342,267,396,2739548,6141.86
1779559904,347,267,396,2774710,6605.83
1779559910,353,267,397,2809490,6698.14
1779559915,358,267,398,2841795,6506.49
1779559920,363,267,399,2883251,7673.22
1779559925,368,267,399,2915459,6491.73
1779559930,373,267,399,2944872,6234.45
1779559935,378,267,399,2979251,6116.48
1779559941,384,267,399,3014006,6413.28
1779559946,389,267,399,3052453,7419.51
1779559951,394,267,399,3084047,6827.61
1779559956,399,267,399,3116767,6460.69
1779559961,404,267,399,3152503,6789.71
1779559966,409,267,399,3185415,7021.26
1779559971,414,267,399,3221161,7102.74
1779559976,419,267,399,3255885,6667.85
1779559982,425,267,399,3287876,6460.52
1779559987,430,267,400,3324393,7133.42
1779559992,435,267,400,3356572,6527.05
1779559997,440,267,400,3388699,6354.81
1779560002,445,267,400,3420833,6255.21
1779560007,450,267,400,3453999,6475.74
1779560012,455,267,400,3492628,7112.55
1779560017,460,267,400,3528792,6993.28
1779560023,466,267,400,3560303,6228.32
1779560028,471,267,400,3598140,7138.67
1779560033,476,267,400,3636148,7389.14
1779560038,481,267,400,3668291,6276.40
1779560043,486,267,401,3705344,7161.21
1779560048,491,267,401,3740469,6962.70
1779560053,496,267,401,3772801,6428.67
1779560059,502,267,401,3809524,7054.22
1779560064,507,267,401,3847165,7261.70
1779560069,512,267,401,3880332,6497.71
1779560074,517,267,401,3923230,8202.65
1779560079,522,267,401,3955796,6851.93
1779560084,527,267,401,3986445,6013.39
1779560089,532,267,403,4016703,6008.90
1779560095,538,267,403,4051629,6511.93
1779560100,543,267,403,4083881,6124.79
1779560105,548,267,403,4114279,6016.08
1779560110,553,267,403,4145301,6162.11
1779560115,558,267,403,4181129,6658.87
1779560120,563,267,403,4216210,7265.74
1779560125,568,267,403,4253089,6880.15
1779560130,573,267,403,4286021,6681.23
1779560136,579,267,403,4322024,6920.18
1779560141,584,267,403,4352794,6286.90
1779560146,589,267,403,4393371,7961.65
1779560151,594,267,403,4436700,8081.86
1779560156,599,267,403,4467495,6421.23
1779560161,604,267,420,4502628,7121.79
1779560166,609,268,434,4533827,6575.96
1779560171,614,268,445,4574275,7894.52
1779560177,620,268,451,4610302,6981.69
1779560182,625,268,455,4642453,6482.98
1779560187,630,268,455,4671099,5903.47
1779560192,635,268,460,4701504,5783.63
1779560197,640,268,460,4738392,6796.34
1779560202,645,268,464,4770952,6641.69
1779560207,650,268,466,4798058,5987.77
1779560212,655,268,466,4823123,5462.61
1779560217,660,268,466,4853279,5733.27
1779560222,665,268,466,4884387,5789.22
1779560227,670,268,466,4911536,5469.11
1779560233,676,268,467,4940726,5112.16
1779560238,681,268,467,4969441,5667.61
1779560243,686,268,468,5000791,6414.10
1779560248,691,268,468,5037762,7160.48
1779560253,696,268,468,5076970,7557.07
1779560258,701,268,468,5108513,6494.79
1779560263,706,268,468,5143031,6528.42
1779560269,712,268,468,5178168,6633.82
1779560274,717,268,468,5206365,5620.36
1779560279,722,268,468,5236886,5865.63
1779560284,727,268,468,5270804,6636.09
1779560289,732,268,468,5299319,5649.76
1779560294,737,268,468,5329245,5852.44
1779560300,743,268,468,5357557,5543.27
1779560305,748,268,468,5386851,5788.66
1779560310,753,268,468,5418404,6048.04
1779560315,758,268,468,5451029,6329.80
1779560320,763,268,468,5486590,6675.99
1779560325,768,268,469,5517202,6245.55
1779560331,774,268,470,5549413,6244.37
1779560336,779,268,470,5581688,6347.82
1779560341,784,268,471,5617283,6868.76
1779560346,789,268,472,5647885,5675.74
1779560351,794,268,472,5680854,6256.89
1779560356,799,268,473,5712917,6292.86
1779560362,805,268,475,5741351,5590.22
1779560367,810,268,475,5773869,6243.56
1779560372,815,268,476,5807532,6223.62
1779560377,820,268,476,5844688,7161.53
1779560382,825,268,476,5876115,6447.43
1779560387,830,268,476,5911504,6970.83
1779560392,835,268,476,5948703,7283.63
1779560398,841,268,476,5980150,6424.30
1779560403,846,268,476,6009733,5685.92
1779560408,851,268,476,6043239,6440.02
1779560413,856,268,476,6076041,6567.25
1779560418,861,268,476,6104322,5863.03
1779560423,866,268,476,6140410,6670.78
1779560428,871,268,476,6173595,6126.05
1779560434,877,268,477,6205182,6289.22
1779560439,882,268,477,6231588,5622.08
1779560444,887,268,477,6261564,5910.02
1779560449,892,268,477,6291016,5905.29
1779560454,897,268,477,6324220,6523.43
1779560459,902,268,477,6356520,6474.71
1779560464,907,268,478,6385200,6124.80
1779560469,912,268,479,6412354,5512.00
1779560474,917,268,479,6433591,4342.24
1779560479,922,268,479,6475158,7451.46
1779560484,927,268,480,6517180,7954.57
1779560489,932,268,480,6559456,8128.26
1779560495,938,268,482,6608976,9230.37
1779560500,943,268,482,6659538,10104.69
1779560505,948,268,482,6702461,8914.11
1779560510,953,268,482,6739062,7682.62
1779560515,958,268,483,6779686,8148.30
1779560520,963,268,483,6822171,8539.96
1779560525,968,268,483,6864455,8319.85
1779560531,974,268,483,6906301,8082.70
1779560536,979,268,485,6943606,7273.95
1779560541,984,268,485,6983716,7348.14
1779560546,989,268,485,7022418,7485.04
1779560551,994,268,485,7070170,9111.25
1779560556,999,268,486,7118442,9395.74
1779560562,1005,268,487,7169077,9322.00
1779560567,1010,268,488,7211499,8423.68
1779560572,1015,268,488,7255742,8845.04
1779560577,1020,268,488,7299712,8811.67
1779560582,1025,268,489,7338801,8397.84
1779560587,1030,268,489,7387394,10297.17
1779560592,1035,268,489,7444938,11165.31
1779560597,1040,268,492,7502119,11191.08
1779560603,1046,268,495,7552237,10656.46
1779560608,1051,268,495,7594989,8940.94
1779560613,1056,268,496,7634130,9918.34
1779560618,1061,268,496,7681249,9318.45
1779560623,1066,268,496,7726572,9055.27
1779560628,1071,268,498,7767932,5695.90
1779560633,1076,268,500,7805036,6663.53
1779560638,1081,268,500,7847677,8209.79
1779560643,1086,268,500,7875763,11205.86
1779560648,1091,268,500,7911636,7745.56
1779560653,1096,268,501,7943007,3801.90
1779560659,1102,268,501,7981107,6805.59
1779560664,1107,268,503,8024538,8367.99
1779560669,1112,268,503,8065883,9695.00
1779560674,1117,268,503,8110284,9555.16
1779560679,1122,268,503,8146246,9210.69
1779560684,1127,268,504,8183533,4576.96
1779560689,1132,268,504,8225378,8071.54
1779560694,1137,268,505,8268993,8694.24
1779560699,1142,268,505,8311548,8354.91
1779560705,1148,268,505,8353100,8637.26
1779560710,1153,268,505,8400284,9522.09
1779560715,1158,268,505,8444180,8791.05
1779560720,1163,269,506,8476835,6950.49
1779560725,1168,269,506,8514542,7222.47
1779560730,1173,269,506,8550380,7028.74
1779560735,1178,269,506,8594761,8603.37
1779560740,1183,269,507,8634454,7615.25
1779560746,1189,269,507,8676805,7954.86
1779560751,1194,269,507,8719268,8110.16
1779560756,1199,269,508,8757713,7748.82
1779560761,1204,269,508,8794384,7585.13
