target,implementation_mode,paper_mode,repeat,run_id,sample_index,ts,execs_done,execs_per_sec,paths_total,bitmap_cvg,unique_crashes,unique_hangs,recipe_hits,recipe_misses
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,37,1779372432,188,188000.000000,0,14.820000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,38,1779372432,188,188000.000000,0,14.820000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,39,1779372432,188,188000.000000,0,14.820000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,40,1779372432,188,188000.000000,0,14.820000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,41,1779372432,188,188000.000000,0,14.820000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,42,1779372432,188,188000.000000,0,14.820000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,43,1779372432,188,188000.000000,0,14.820000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,44,1779372432,188,188000.000000,0,14.820000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,45,1779372432,188,188000.000000,0,14.820000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,46,1779372432,188,188000.000000,0,14.820000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,47,1779372432,188,188000.000000,0,14.820000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,48,1779372432,188,188000.000000,0,14.820000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,49,1779372432,188,188000.000000,0,14.820000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,50,1779372432,188,188000.000000,0,14.820000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,51,1779372432,188,188000.000000,0,14.820000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,52,1779372432,188,188000.000000,0,14.820000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,53,1779372432,188,188000.000000,0,14.820000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,54,1779372432,188,188000.000000,0,14.820000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,55,1779372432,188,188000.000000,0,14.820000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,56,1779372432,188,188000.000000,0,14.820000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,57,1779372432,188,188000.000000,0,14.820000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,58,1779372432,188,188000.000000,0,14.820000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,59,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,60,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,61,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,62,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,63,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,64,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,65,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,66,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,67,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,68,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,69,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,70,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,71,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,72,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,73,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,74,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,75,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,76,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,77,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,78,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,79,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,80,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
